"Date","Price","Open","High","Low","Vol.","Change %"
"11/24/2023","0.104702","0.102100","0.105428","0.102041","540.10M","2.55%"
"11/23/2023","0.102099","0.101155","0.102161","0.100814","243.78M","0.93%"
"11/22/2023","0.101161","0.096118","0.101964","0.096039","602.16M","5.20%"
"11/21/2023","0.096163","0.100968","0.101944","0.095727","543.81M","-4.76%"
"11/20/2023","0.100968","0.103490","0.104995","0.100897","347.59M","-2.44%"
"11/19/2023","0.103492","0.102905","0.103791","0.101727","236.13M","0.57%"
"11/18/2023","0.102907","0.103699","0.103720","0.101220","281.50M","-0.76%"
"11/17/2023","0.103699","0.102343","0.103856","0.101838","330.39M","1.32%"
"11/16/2023","0.102343","0.104069","0.104674","0.101554","391.66M","-1.66%"
"11/15/2023","0.104069","0.102218","0.104610","0.102139","458.53M","1.75%"
"11/14/2023","0.102278","0.106879","0.107082","0.101957","494.40M","-4.31%"
"11/13/2023","0.106883","0.108547","0.110567","0.106868","436.18M","-1.44%"
"11/12/2023","0.108440","0.108015","0.108830","0.106316","326.60M","0.39%"
"11/11/2023","0.108016","0.106215","0.108910","0.104880","398.07M","1.70%"
"11/10/2023","0.106212","0.098903","0.112647","0.098903","1.02B","7.39%"
"11/09/2023","0.098902","0.098337","0.100866","0.097369","542.33M","0.57%"
"11/08/2023","0.098337","0.096582","0.098670","0.096332","350.83M","1.82%"
"11/07/2023","0.096582","0.097654","0.097830","0.095937","331.90M","-1.10%"
"11/06/2023","0.097654","0.098081","0.098971","0.096443","319.16M","-0.44%"
"11/05/2023","0.098081","0.097640","0.098919","0.097329","208.62M","0.45%"
"11/04/2023","0.097639","0.097221","0.098194","0.096912","227.41M","0.43%"
"11/03/2023","0.097221","0.099193","0.099193","0.097082","298.84M","-1.99%"
"11/02/2023","0.099192","0.100139","0.100903","0.098622","376.40M","-0.95%"
"11/01/2023","0.100139","0.097149","0.100620","0.096871","581.32M","3.08%"
"10/31/2023","0.097150","0.095577","0.097160","0.095543","347.82M","1.65%"
"10/30/2023","0.095577","0.094874","0.095617","0.094056","319.57M","0.75%"
"10/29/2023","0.094870","0.094338","0.095128","0.094138","224.76M","0.56%"
"10/28/2023","0.094339","0.093536","0.094584","0.093276","279.39M","0.86%"
"10/27/2023","0.093536","0.092852","0.094036","0.092627","313.67M","0.74%"
"10/26/2023","0.092851","0.093482","0.093772","0.092008","375.61M","-0.67%"
"10/25/2023","0.093480","0.092343","0.094044","0.092337","326.03M","1.23%"
"10/24/2023","0.092343","0.092175","0.093919","0.091851","460.72M","0.18%"
"10/23/2023","0.092175","0.090310","0.093174","0.089998","460.85M","2.07%"
